path,sentence
data/processed/sentence_audio/Sentence_for_entry_1368_01.wav,nikhvv uuweehstaaneliitoohoo aatiiha
data/processed/sentence_audio/Sentence_for_entry_1538.wav,hilaa naanii'a uunateeki teetsiikhaha
data/processed/sentence_audio/Sentence_for_entry_0746.wav,katoohskin uuhsti nuuwaane tsituukhstiiha
data/processed/sentence_audio/Sentence_for_entry_0153_02.wav,hayeelhsti kvhti aakvvhali kaatu uukanaahsta
data/processed/sentence_audio/Sentence_for_entry_0997.wav,na ahskay kaahsohi uuweehstaaneeha
data/processed/sentence_audio/Sentence_for_entry_1574.wav,yinikalhstiihakwu iyvv uutvnv'ihstoo uutaahsteelhtii'i
data/processed/sentence_audio/Sentence_for_entry_1862.wav,yvvtaaha lha aakwatuulihskvv yinikalhstiihsko
data/processed/sentence_audio/Sentence_for_entry_1677.wav,uuliihsi uunvvneelv kaahsaleeni
data/processed/sentence_audio/Sentence_for_entry_1268.wav,kato uuhsti kha'lv tsateethiyiihski
data/processed/sentence_audio/Sentence_for_entry_1110.wav,kvvnawoohski kolhvhthanvv ulvvhsa'ti uwaanawoohsvv uutiilhehki ama aatliihstv wuulhana
data/processed/sentence_audio/Sentence_for_entry_1698.wav,ookinaalii ookinaliikoohi wookineetoolv nvvtaakii'i
data/processed/sentence_audio/Sentence_for_entry_0099.wav,ama aatliiha hsvvtoonii'i
data/processed/sentence_audio/Sentence_for_entry_1592.wav,ikaata uutaleehi aaneeliihsko uu kuukha yinikawee'a aataaneelv na'vv'i
data/processed/sentence_audio/Sentence_for_entry_1249.wav,iika uuniiyohihsti tsuuniilvwhstaaneehi
data/processed/sentence_audio/Sentence_for_entry_0875.wav,tsuutootakwvvta kalookiihsko uuwhihsvvnvv'i
data/processed/sentence_audio/Sentence_for_entry_1703.wav,uukoonhvvwutvv uuneeka'lvv'i
data/processed/sentence_audio/Sentence_for_entry_1083.wav,yituuyhahkheetsonha nuuna amoohi teekuuhiiloohskoo'i
data/processed/sentence_audio/Sentence_for_entry_0982.wav,kvvna kanvvhskee aahstiiki'a
data/processed/sentence_audio/Sentence_for_entry_0564.wav,tiilhanoohehtii teekaliinooheehskvv'i
data/processed/sentence_audio/Sentence_for_entry_0740.wav,lha khilo yuulvvkwhti uuyo ataanhtatiihsti tsuutloohihstii'i
data/processed/sentence_audio/Sentence_for_entry_1804.wav,uuyeelvvha uutawoo'vv uuweeyvv'i
data/processed/sentence_audio/Sentence_for_entry_0070.wav,ateelatsuulhvv uweenvvhsti uutuuliiha
data/processed/sentence_audio/Sentence_for_entry_1052.wav,kato uuhsti hoolhvvhska
data/processed/sentence_audio/Sentence_for_entry_0704.wav,hi'a ahskaya tiikheewi
