wav_filename,dataProcessedBy,dateAdded,speakerPrefix,gender,wav_filesize,duration_seconds,codeSwitch,needsFurtherCheck,transcript,original_transcript,sandbox,date,speakerCode,speakerGender,transcript_clean
BP-RRBPKB1-001.wav,user,20260629.0,BP,m,104652,3.2679375,,,te ꞌeuꞌeuꞌanga i tō tātou ꞌai tūpuna,Te ꞌeuꞌeuꞌanga i tō tātou ꞌai tūpuna,,,,,
BP-RRBPKB1-002.wav,user,20260629.0,BP,m,71460,2.2306875,,,nā damon salesa,Nā Damon Salesa,,,,,
BP-RRBPKB1-003.wav,user,20260629.0,BP,m,100104,3.1258125,,,ꞌuriꞌanga ꞌe terangi nikora, ꞌuriꞌanga ꞌe Terangi Nikora ,,,,,
BP-RRBPKB1-004.wav,user,20260629.0,BP,m,113746,3.552125,,,i te mataꞌiti 2002,"I te mataꞌiti 2002,",,,,,
BP-RRBPKB1-005.wav,user,20260629.0,BP,m,204222,6.3795,,,kua kiteaꞌia tetaꞌi anga ūpoko takere i viti,kua kiteaꞌia tetaꞌi anga ūpoko takere i Viti.,,,,,
BP-RRBPKB1-006.wav,user,20260629.0,BP,m,138752,4.3335625,,,nō tetaꞌi vaꞌine vaitata ra rāi ē kua pou,Nō tetaꞌi vaꞌine vaitata ra rāi ē kua pou,,,,,
BP-RRBPKB1-007.wav,user,20260629.0,BP,m,191948,5.9959375,,,te toru tauatini mataꞌiti te roa mei tōna mateꞌanga,te toru tauatini  mataꞌiti te roa mei tōna mateꞌanga  ,,,,,
BP-RRBPKB1-008.wav,user,20260629.0,BP,m,78280,2.4438125,,,ko ꞌai rā tēia vaꞌine,Ko ꞌai rā tēia vaꞌine? ,,,,,
BP-RRBPKB1-009.wav,user,20260629.0,BP,m,121474,3.793625,,,mei te aꞌa ra te tū o tōna oraꞌanga,Mei te aꞌa ra te tū o tōna oraꞌanga?,,,,,
BP-RRBPKB1-010.wav,user,20260629.0,BP,m,68278,2.13125,,,ē,"Ē,",,,,,
BP-RRBPKB1-011.wav,user,20260629.0,BP,m,127840,3.9925625,,,i ꞌakapeꞌea ra tōna ꞌai tūpuna,i ꞌakapeꞌea ra tōna ꞌai tūpuna ,,,,,
BP-RRBPKB1-012.wav,user,20260629.0,BP,m,47362,1.477625,,,i te ꞌaere maiꞌanga,i te ꞌaere maiꞌanga,,,,,
BP-RRBPKB1-013.wav,user,20260629.0,BP,m,67824,2.1170625,,,mei atia,mei Atia,,,,,
BP-RRBPKB1-014.wav,user,20260629.0,BP,m,46000,1.4350625,,,i te pae tonga,i te Pae Tonga,,,,,
BP-RRBPKB1-015.wav,user,20260629.0,BP,m,132840,4.1488125,,,i te ꞌitinga ki rotopū i tōna moana patipika,i te ꞌItinga ki rotopū i tōna Moana Patipika,,,,,
BP-RRBPKB1-016.wav,user,20260629.0,BP,m,96922,3.026375,,,i roto i te au taꞌi ngaꞌuru,i roto i te au taꞌi ngaꞌuru,,,,,
BP-RRBPKB1-017.wav,user,20260629.0,BP,m,96922,3.026375,,,tauatiniꞌanga mataꞌiti i topa ki muri,tauatiniꞌanga mataꞌiti i topa ki muri? ,,,,,
BP-RRBPKB1-018.wav,user,20260629.0,BP,m,120564,3.7651875,,,ka tīmata mātou i te paꞌu,Ka tīmata mātou i te paꞌu,,,,,
BP-RRBPKB1-019.wav,user,20260629.0,BP,m,54638,1.705,,,i tēia au uiuiꞌanga,i tēia au uiuiꞌanga,,,,,
BP-RRBPKB1-020.wav,user,20260629.0,BP,m,116474,3.637375,,,ē tetaꞌi ꞌakaꞌou atu i roto i tēia puka,ē tetaꞌi ꞌakaꞌou atu i roto i tēia puka.,,,,,
BP-RRBPKB1-022.wav,user,20260629.0,BP,m,31904,0.9945625,,,inārā,"Inārā,",,,,,
BP-RRBPKB1-023.wav,user,20260629.0,BP,m,89194,2.784875,,,kāre te tua e ꞌakamutu ki reira,kāre te tua e ꞌakamutu ki reira.,,,,,
BP-RRBPKB1-024.wav,user,20260629.0,BP,m,137386,4.290875,,,i noꞌo tetaꞌi au uri o tēia vaꞌine ki vītī,"I noꞌo tetaꞌi au uri o tēia vaꞌine ki Vītī, ",,,,,
BP-RRBPKB1-025.wav,user,20260629.0,BP,m,77372,2.4154375,,,ē tē noꞌo nei rāi,ē tē noꞌo nei rāi,,,,,
BP-RRBPKB1-026.wav,user,20260629.0,BP,m,26448,0.8240625,,,ki reira,ki reira,,,,,
BP-RRBPKB1-027.wav,user,20260629.0,BP,m,47364,1.4776875,,,i tēia tuātau,i tēia tuātau.,,,,,
BP-RRBPKB1-028.wav,user,20260629.0,BP,m,65096,2.0318125,,,ko tetaꞌi pae rā,Ko tetaꞌi pae rā,,,,,
BP-RRBPKB1-029.wav,user,20260629.0,BP,m,43726,1.364,,,i a rātou,"i a rātou,",,,,,
BP-RRBPKB1-030.wav,user,20260629.0,BP,m,96466,3.012125,,,i ꞌaere ꞌakaꞌou atu ki te ꞌitinga, i ꞌaere ꞌakaꞌou atu ki te ꞌitinga. ,,,,,
BP-RRBPKB1-031.wav,user,20260629.0,BP,m,48728,1.5203125,,,i te noꞌoꞌanga,I te noꞌoꞌanga,,,,,
BP-RRBPKB1-032.wav,user,20260629.0,BP,m,75552,2.3585625,,,o te au uki,"o te au uki,",,,,,
BP-RRBPKB1-033.wav,user,20260629.0,BP,m,46910,1.4635,,,kua tae rātou,kua tae rātou,,,,,
BP-RRBPKB1-034.wav,user,20260629.0,BP,m,39634,1.236125,,,ki vaiꞌī,"ki Vaiꞌī,",,,,,
BP-RRBPKB1-036.wav,user,20260629.0,BP,m,72824,2.2733125,,,tāꞌopenga atu ki aotearoa,tāꞌopenga atu ki Aotearoa.,,,,,
BP-RRBPKB1-038.wav,user,20260629.0,BP,m,39634,1.236125,,,kua tuaꞌia,Kua tuaꞌia ,,,,,
BP-RRBPKB1-039.wav,user,20260629.0,BP,m,49636,1.5486875,,,tō rātou tua,tō rātou tua ,,,,,
BP-RRBPKB1-041.wav,user,20260629.0,BP,m,53728,1.6765625,,,i roto i tetaꞌi puka, i roto i tetaꞌi puka,,,,,
BP-RRBPKB1-042.wav,user,20260629.0,BP,m,79190,2.47225,,,te ka āru mai i tēia,"te ka āru mai i tēia,",,,,,
BP-RRBPKB1-043.wav,user,20260629.0,BP,m,41908,1.3071875,,,koia ꞌoki:,koia ꞌoki: ,,,,,
BP-RRBPKB1-044.wav,user,20260629.0,BP,m,45090,1.406625,,,ꞌavaiki,ꞌAvaiki.,,,,,
BP-RRBPKB1-046.wav,user,20260629.0,BP,m,74190,2.316,,,te kiteaꞌiaꞌanga a mana,Te kiteaꞌiaꞌanga a Mana ,,,,,
BP-RRBPKB1-048.wav,user,20260629.0,BP,m,107380,3.3531875,,,i roto i a tiurai mataꞌiti 2002,"I roto i a Tiurai mataꞌiti 2002,",,,,,
BP-RRBPKB1-049.wav,user,20260629.0,BP,m,135568,4.2340625,,,tē kōkō ra a chris suri inārā,"tē kōkō ra a Chris Suri, inārā,  ",,,,,
BP-RRBPKB1-050.wav,user,20260629.0,BP,m,61458,1.918125,,,kāre tāna kōkōꞌanga,kāre tāna kōkōꞌanga,,,,,
BP-RRBPKB1-051.wav,user,20260629.0,BP,m,67824,2.1170625,,,ki roto i te one,ki roto i te one ,,,,,
BP-RRBPKB1-052.wav,user,20260629.0,BP,m,78280,2.4438125,,,ē mei tā te tangata tanutanu ra,ē mei tā te tangata tanutanu ra,,,,,
BP-RRBPKB1-053.wav,user,20260629.0,BP,m,46000,1.4350625,,,mē kāre ra,mē kāre ra,,,,,
BP-RRBPKB1-054.wav,user,20260629.0,BP,m,86010,2.685375,,,mei tā te tangata pātū ꞌare ra,mei tā te tangata pātū ꞌare ra.,,,,,
