index,sentence_id,audio,syllabary,phonetic,english,source,speaker,notes
1,be81dc927487,Sentence_for_entry_0004.wav,Ꮎ *ᎠᏂᏧᏣ* ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.,ná *ani:chű:ja* sgwà:hle̋:sdi dà:ná:ne:lo:hv́sga,The *boys* are playing ball.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
2,5cb84308a5e4,Sentence_for_entry_0005.wav,ᏥᏔᎦ *ᎠᏂᏨᏯ* ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.,jitǎ:ga *ani:chv:ya* u:gitsde̋:yi à:ná:yhgó:’i,*Roosters* crow at dawn.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
3,4f110984292b,Sentence_for_entry_0006.wav,ᎯᎳ ᏧᎬᏩᎶᏗ ᏌᏊ ᎢᎦᏒᏘ *ᎠᏓ?*,hila̋: ju:gv̋:walhdi sà:gwű i:gâ:sv̋:ti *ada*,How much does one rick of *wood* cost?,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
4,2118e4b4890a,Sentence_for_entry_0007.wav,ᏥᏔᎦ *ᎠᏂᏓ* ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.,jitǎ:ga *ani̋:da* ju:tvhisdóhdi̋ à:da:nhtě:ha,He’s thinking about raising *chicks.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
5,b09ad548e3d3,Sentence_for_entry_0008.wav,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
6,f1f9107561a6,Sentence_for_entry_0009.wav,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
7,b9afa52f5da7,Sentence_for_entry_0010.wav,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ *ᎠᏓᏗᏅᏗᎭ* ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
8,773fc5342d8f,Sentence_for_entry_0011.wav,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ *ᎤᏓᏠᏢᎢ* ᏗᎦᏚᎲ ᎤᏪᎾ.,uwo:dű:hi adà:dlǒ:sdi *ù:dá:dlo:hlv̌:’i* diga:dú:hv̋ ù:we̋:na,*She put on* a pretty *belt *when she went to town.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
9,02e5ba8429a0,Sentence_for_entry_0012.wav,*ᎠᏓᏠᏍᏗ* ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ.,*adà:dlǒ:sdi* à:giné:sv́: dà:ni:sdayo:hihv̋:’i,I got a *belt* for Christmas.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
10,6f4734d9af39,Sentence_for_entry_0013.wav,*ᎠᏓᏙᎵᏍᏗ* ᎤᏔᏲᏢ ᎠᎵᏣᏙᎲᏍᎩ.,*ada:dǒ:lî:sdi* ù:tayo:hlv́ alhjadő:hvsgi,The preacher asked for *prayers.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
11,7f68a87b955a,Sentence_for_entry_0014.wav,ᏦᎢ ᎢᏳᏩᎩᏗ *ᎠᏓᏙᎵᏍᏗᏍᎪ* ᏏᎦ.,jo’i iyúwa̋:kdi *à:da:dǒ:lî:sdǐ:sgo* si̋:ga,*He prays* three times a day.,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
12,827fbce7ea4e,Sentence_for_entry_0015_01.wav,*ᎠᏂᏓᎨ* ᏚᏯ ᎠᏂᏤ ᏚᏩᏒ ᏗᏓᎾᏅᎢ.,*aní:dage̋:* tǔ:ya ani:je̋: dù:hwasv́ di:dá:nanv̋:’i,She bought *tender* green beans at the store.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
13,842fe1d25858,Sentence_for_entry_0015_02.wav,*ᎠᏓᎨ* ᎠᏲᏟ ᎤᏅᏗᏊ ᎢᎦ ᎠᏗᏔᏍᎪᎢ.,*ádage̋:* ayő:hli u:nv̌:digwu i:ga̋: à:di:tasgó:’i,*A very young* child drinks only milk.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
14,ce2391d976a7,Sentence_for_entry_0016.wav,*ᎠᏓᎨᏳᏗ* ᎤᎵᏍᎨᏓ.,*ada:geyhdi* u:lsge̋:da,*Love* is important.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
15,b6cbf3a97f11,Sentence_for_entry_0017.wav,ᎢᎦᏓ ᏗᎩᏍᏗ *ᎠᎾᏓᎯᎯ* ᏥᏈᏍᏗ ᏱᏓᎩᏌ.,i:gá:da di̋:kisdi *anada̋:hihi* tsgwi̋:sdi yidákisa,Some pills are *killers* if too many are swallowed.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
16,64f551a7c10f,Sentence_for_entry_0018.wav,ᎢᏤ *ᎠᏓᏝᏁᏌᎵᏗ* ᎤᏅᏁᎸ ᎤᏍᏓᏴᎲᏍᎩ.,ije̋: *ada:hlane̋:salhdi* ù:nv́:ne:lv́ u:sda:yv̋:hvsgi,He gave his wife a new *purse.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
17,fe98cab132ea,Sentence_for_entry_0019.wav,ᏓᏂᏍᏓᏲᎯᎲ ᎾᎥ ᏱᎩ *ᏗᏓᏁᏗ* ᎠᎾᏓᎾᏁᏒᎲᏍᎪ ᏴᏫ.,dà:ni:sdayo:hihv̋: na’v̋: yi̋gi *di:da̋:hnehdi* à:nada:nané:svhvsgó: yv:wi,When it’s close to Christmas‚ people shop for *gifts.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
18,04c2b8eadcf6,Sentence_for_entry_0020.wav,*ᎤᏓᏃᏰᏗ* ᎤᏚᎵ ᎠᏎᏃ Ꮭ ᎠᏓᏃᏲ ᏳᏩᏯ.,*u:tano:yé:hdi̋* ù:du:lí a:sé:hnó: hla atano:yó yuwá:ya,*She* wants *to fan* herself‚ but she has no fan.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
19,cfdba7b5b0ee,Sentence_for_entry_0021.wav,ᎤᏗᏞᎦ. ᎱᏓᎸᎥᎦ *ᎠᏓᏃᏲ.*,ù:di:hlehga hu:dalv́’v̀:ga *atano:yó*,It’s hot. Plug in the *fan.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
20,e393ee7849b8,Sentence_for_entry_0022.wav,Ꮭ ᎠᏴ ᎠᏇᏅᏒ ᏱᎩ ᎠᎭᏂ. *ᎦᏓᏩᏛᎯᏙᎭᏊ.*,hla aya à:gwe:nv́:sv̋ yigi áhani *gadà:wahtv:hi:dô:hagwu*,This isn’t my home. *I’m just visiting.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
21,223d76d5cc41,Sentence_for_entry_0023.wav,ᎤᏍᏆᏓ ᎪᏪᎵ ᏕᎪᏪᎵᏍᎬ‚ *ᎤᏓᏯᏍᏔᏅᎢ.*,ù:sgwá’da go:hwe:li de:gó:hwě:lî:sgv̋: *ù:da:hyâ:stanv̌:’i*,When he finished writing letters‚ *he stretched.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
22,3f07b1bc14bf,Sentence_for_entry_0024.wav,*ᎠᏓᏰᏍᎩ* ᎤᏢᎬ ᎠᏥᏅᏩᏅᎢ.,*ada:hye̋:sgi* ù:dlv́gv̋ à:jì:nv:wâ:nv̌:’i,He was cured of *cancer.*,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
23,3bd4d3845413,Sentence_for_entry_0025_01.wav,ᎤᏃᏍᎩᏒ ᎠᎫᎢᏍᏔᎾ. *ᎤᏓᏱᎸᎢ.*,u:no:sgí:sv̋: à:gu’i̋:stana *ù:dahyilv̌:’i*,When he was accused of stealing‚ *he denied it.*,Cherokee Dictionary 1975 Durbin Feeling,Dennis Sixkiller,Cherokee National Treasure.
24,3ad9b5722c89,Sentence_for_entry_0025_02.wav,*ᏥᏯᏓᏱᎭ*‚ Ꮭ ᏥᏲᎵᎦ ᏱᎩ.,*ji:dayíha* hla ji:yő:lì:ga yigi,*I am denying him‚* I just don’t know him.,Cherokee Dictionary 1975 Durbin Feeling,Dennis Sixkiller,Cherokee National Treasure.
25,3c870fc352dc,Sentence_for_entry_0026.wav,ᏣᏁᎵᏁ ᏗᎧᏃᏩᏛᏍᏗ ’ᏞᏍᏗ *ᏣᏓᏲᏁᎸᎢ’* ᎠᏗᎭ.,chane:li:ne̋: dikanowadv́:sdi hlè:sdi *jada:hyo:ně:lv́:’i* à:dǐ:ha,The eighth commandment says‚ ’Thou shalt *not commit adultery.’*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
26,dda3e57c13e3,Sentence_for_entry_0027.wav,ᎦᎸᏉᏗ ᎪᏪᎵ ᎠᏍᎦᎦ *ᎠᏓᏲᏁᏗ.*,galv̋:kwdi go:hwe:li à:sgâ:ga *ada:hyő:nehdi*,The Bible reproves *adultery.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
27,7ba6e5892f5f,Sentence_for_entry_0028.wav,ᏣᏂ ᎣᏍᏗ ᎧᏃᎮᏓ ᏣᏁᎵᏁ ᎠᏯᏙᏢ ᎠᏥᏁᎢᏍᏗ *ᎠᏓᏲᏁᎯ* ᎠᎨᏯ.,jǎ:ni ő:sdi kano:hě:da chane:li:ne̋: à:yâ:tohlv̋: à:jì:nê:sdí *ada:hyo:ne̋:hi* agě:hya,An *adulteress* is mentioned in chapter eight of the book of John.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
28,7a23c42815bf,Sentence_for_entry_0029.wav,ᎤᏪᏘ ᎠᎿᏬ ᎠᎯᏓ ᎨᏐ *ᎤᏓᏣᎦᎵᏗ.*,uwe̋:ti ahnawó ahi̋:da gè:só *u:da:jagalhdi*,An old cloth is easy *to rip.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
29,d4bed5d02a59,Sentence_for_entry_0030.wav,ᎪᎱᏍᏗ ᎤᏍᏗ ᏥᎪᏯ *ᎠᏓᏨᎢᏍᎩ* ᎤᏩᏨᏴ ᎤᏬᏰᏂ.,go:hű:sdi ű:sdi tsgǒ:ya *ada:jv̋:ysgi* ù:wa:jv́:hya uwò:ye̋:ni,Some kind of a *stinging* bug stung him on his hand.,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
30,16ad92504108,Sentence_for_entry_0031.wav,Ꮲ ᎤᏪᏅᏍᏗ ᏯᏛᏅᎢᏍᏗ *ᎠᏓᎨᏍᎪᎢ.*,hlv̋: uwe:nv̀:sdi̋ yadv́:nv’isdi̋: *à:da:kě:sgó:’i*,When he’s getting ready to go somewhere‚ *he uses a mirror.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
31,10a573372592,Sentence_for_entry_0032.wav,ᎤᏔᎾ *ᎠᏓᎨᏗ* ᏄᏩᏅᏗ ᏗᏎᎯᏍᏗᎢ.,ű:tana *ada:kéhdi̋* nù:wá:nhdi di:sě:hísdi̋:’i,She has a big *mirror* on the dresser.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
